"Tid (s)","Rörelsemängdsmoment (kg * m^2/s)","L/L0 – 1","Energi (J)","E/E0 – 1","Avstånd från analytisk lösning (m)","Hastighet (m/s)","V/V0 – 1","Delta hastighet (m/s)"
9.19999999999985,4000324.79519562,8.11987989051133E-05,-293709.846454493,-1.75463414464616E-05,1.55944975030901E-05,0.0486817982420453,0.217044956051133,0.000372789987576364
9.29999999999985,4000328.75070267,8.2187675668699E-05,-293709.815840732,-1.76505709230668E-05,1.61118508047423E-05,0.0488674090934747,0.221685227336867,0.000373739986491375
9.39999999999984,4000332.72153865,8.31803846617074E-05,-293709.786228748,-1.77513896890691E-05,1.66406329303446E-05,0.0490549267642018,0.226373169105044,0.00037470469345713
9.49999999999984,4000336.70796015,8.41769900379319E-05,-293709.757640301,-1.78487236605074E-05,1.71809750774969E-05,0.0492443524871407,0.231108812178517,0.000375684279681226
9.59999999999984,4000340.71022749,8.51775568724289E-05,-293709.730097622,-1.79424971429309E-05,1.77330087413716E-05,0.0494356876993533,0.235892192483834,0.00037667892003926
9.69999999999984,4000344.72860473,8.61821511835004E-05,-293709.703623431,-1.80326327869906E-05,1.82968657236619E-05,0.0496289340459357,0.240723351148391,0.000377688793155351
9.79999999999984,4000348.76335983,8.71908399575627E-05,-293709.678240946,-1.81190515439189E-05,1.88726781396678E-05,0.0498240933839128,0.245602334597821,0.000378714081485138
9.89999999999983,4000352.81476467,8.82036911669104E-05,-293709.653973898,-1.82016726174572E-05,1.9460578418106E-05,0.0500211677861471,0.250529194653677,0.000379754971401054
9.99999999999983,4000356.88309519,8.92207737981376E-05,-293709.630846543,-1.82804134177816E-05,2.00606993117532E-05,0.0502201595452599,0.255503988631498,0.000380811653280068
10.0999999999998,4000360.96863149,9.02421578723445E-05,-293709.608883684,-1.83551895094336E-05,2.06731738991794E-05,0.0504210711775721,0.260526779439301,0.000381884321594114
10.1999999999998,4000365.07165789,9.12679144717821E-05,-293709.588110675,-1.8425914562803E-05,2.12981355960112E-05,0.0506239054270638,0.265597635676596,0.000382973175002967
10.2999999999998,4000369.19246305,9.22981157636116E-05,-293709.568553445,-1.84925003007264E-05,2.19357181557516E-05,0.0508286652693589,0.270716631733973,0.000384078416450083
10.3999999999998,4000373.33134011,9.33328350272156E-05,-293709.55023851,-1.85548564437532E-05,2.25860556788948E-05,0.0510353539157344,0.275883847893361,0.000385200253261062
10.4999999999998,4000377.48858671,9.43721466784009E-05,-293709.533192992,-1.86128906545235E-05,2.32492826175498E-05,0.0512439748171606,0.281099370429014,0.000386338897245088
10.5999999999998,4000381.6645052,9.54161262993747E-05,-293709.517444632,-1.86665084803694E-05,2.39255337807599E-05,0.0514545316683729,0.286363291709322,0.000387494564799502
10.6999999999998,4000385.85940266,9.64648506642796E-05,-293709.503021811,-1.87156132954724E-05,2.46149443470922E-05,0.0516670284119805,0.291675710299514,0.000388667477017157
10.7999999999998,4000390.07359108,9.75183977689476E-05,-293709.489953567,-1.87601062375808E-05,2.53176498610468E-05,0.0518814692426138,0.297036731065345,0.000389857859797357
10.8999999999998,4000394.30738744,9.8576846860432E-05,-293709.478269611,-1.87998861457261E-05,2.60337862508771E-05,0.0520978586111144,0.30244646527786,0.000391065943959932
10.9999999999998,4000398.56111386,9.96402784656514E-05,-293709.468000351,-1.88348494954971E-05,2.6763489824762E-05,0.0523162012287718,0.307905030719295,0.000392291965362661
11.0999999999998,4000402.8350977,0.000100708774424696,-293709.459176907,-1.88648903322042E-05,2.75068972852302E-05,0.0525365020716097,0.313412551790243,0.000393536165022397
11.1999999999998,4000407.12967168,0.000101782417920804,-293709.451831133,-1.88899002004916E-05,2.82641457353649E-05,0.0527587663847258,0.318969159618145,0.000394798789239785
