"Tid (s)","Rörelsemängdsmoment (kg * m^2/s)","L/L0 – 1","Energi (J)","E/E0 – 1","Avstånd från analytisk lösning (m)","Hastighet (m/s)","V/V0 – 1","Delta hastighet (m/s)"
73,6631877.55808297,0.657969389520743,333639.165208071,-2.13592824717591,5.22541423475024,0.133620441810988,2.34051104527469,0.000398292920980936
74,6632090.78603419,0.658022696508549,333585.4984987,-2.13574553022459,5.354395210784,0.133245098304483,2.33112745761208,0.000380747441201432
75,6632290.41421816,0.65807260355454,333535.425454065,-2.13557504848338,5.48317927663751,0.132885700784567,2.32214251961416,0.000364372981136984
76,6632477.60150151,0.658119400375378,333488.627912019,-2.13541571871801,5.61177189402943,0.132541224697263,2.31353061743159,0.000349065645232176
77,6632653.3839993,0.658163345999824,333444.822434184,-2.13526657591692,5.74017832566587,0.132210732913853,2.30526832284632,0.00033473294855455
78,6632818.69052188,0.65820467263047,333403.755833956,-2.13512675806554,5.86840364160752,0.131893366500761,2.29733416251902,0.000321292333115161
79,6632974.35578303,0.658243588945757,333365.20136424,-2.1349954931669,5.99645272589077,0.131588336642908,2.28970841607271,0.0003086699057559
80,6633121.13173437,0.658280282933591,333328.955455797,-2.13487208813674,6.12433028327438,0.131294917554974,2.28237293887435,0.000296799360425503
81,6633259.697326,0.658314924331499,333294.834916996,-2.13475591926967,6.25204084601355,0.131012440241727,2.27531100604318,0.000285621054560984
82,6633390.66693941,0.658347666734852,333262.674521704,-2.13464642402671,6.37958878058673,0.130740286990525,2.26850717476314,0.000275081214790946
83,6633514.59769654,0.658378649424135,333232.324924913,-2.13454309393876,6.50697829431928,0.130477886497171,2.26194716242927,0.000265131251586163
84,6633631.99581392,0.658407998953479,333203.650856073,-2.13444546845545,6.63421344186242,0.130224709541325,2.25561773853313,0.000255727166035838
85,6633743.32214261,0.658435830535652,333176.529548544,-2.13435312959798,6.76129813149768,0.129980265140166,2.24950662850414,0.00024682903480329
86,6633848.99701194,0.658462249252985,333150.84937048,-2.13426569729776,6.88823613124592,0.129744097119382,2.24360242798456,0.000238400561653819
87,6633949.40447558,0.658487351118896,333126.508628075,-2.13418282532187,7.01503107476689,0.129515781049359,2.23789452623397,0.000230408685856531
88,6634044.89604365,0.658511224010912,333103.414516756,-2.1341041977022,7.14168646704114,0.12929492150172,2.23237303754299,0.000222823239328586
89,6634135.79397069,0.658533948492672,333081.482199743,-2.13402952559826,7.26820568983001,0.129081149587633,2.22702873969083,0.000215616645679027
90,6634222.3941598,0.658555598539949,333060.633996545,-2.13395854453433,7.39459200691282,0.128874120744501,2.22185301861252,0.000208763655375438
91,6634304.96873303,0.658576242183257,333040.798666625,-2.13389101196053,7.5208485691031,0.12867351274213,2.21683781855325,0.000202241112139989
92,6634383.76831197,0.658595942077993,333021.910775657,-2.13382670509516,7.64697841904723,0.128479023883274,2.21197559708185,0.00019602774641774
93,6634459.02404508,0.658614756011269,333003.910133634,-2.13376541901165,7.77298449581056,0.128290371376674,2.20725928441685,0.000190103992374023
94,6634530.9494138,0.658632737353451,332986.741295657,-2.13370696493891,7.89886963925697,0.128107289863512,2.20268224658781,0.000184451825393168
95,6634599.74184478,0.658649935461194,332970.353117495,-2.13365116874819,8.02463659422857,0.127929530080574,2.19823825201435,0.000179054617483338
96,6634665.58415159,0.658666396037897,332954.698359161,-2.13359786960334,8.15028801453275,0.127756857645462,2.19392144113656,0.000173897008357608
97,6634728.64582664,0.658682161456659,332939.733330632,-2.13354691875465,8.27582646674406,0.127589051951004,2.18972629877509,0.000168964790270071
98,6634789.08420075,0.658697271050187,332925.417574666,-2.13349817845891,8.40125443382848,0.12742590515749,2.18564762893724,0.000164244804947113
99,6634847.04548565,0.658711761371411,332911.713582317,-2.13345152101089,8.52657431859779,0.127267221272755,2.18168053181888,0.000159724851177489
100,6634902.665713,0.65872566642825,332898.586537364,-2.13340682787315,8.65178844700157,0.127112815311243,2.17782038278108,0.000155393601813998
101,6634956.07158159,0.658739017895398,332886.004086306,-2.133363988893,8.77689907126437,0.126962512524206,2.17406281310514,0.000151240529102081
102,6635007.38122259,0.658751845305648,332873.936131052,-2.13332290159664,8.90190837287519,0.126816147694091,2.17040369235227,0.000147255837389969
103,6635056.70489223,0.658764176223058,332862.354641777,-2.13328347055202,9.02681846543651,0.126673564486919,2.16683911217297,0.00014343040239421
104,6635104.1455994,0.65877603639985,332851.233487704,-2.13324560679269,9.15163139737954,0.126534614857133,2.16336537142833,0.000139755716297646
105,6635149.79967534,0.658787449918834,332840.548283902,-2.13320922729625,9.27634915455238,0.126399158500007,2.15997896250018,0.000136223838045301
106,6635193.75729133,0.658798439322833,332830.276252361,-2.13317425451127,9.40097366268737,0.12626706234721,2.15667655868026,0.000132827348281009
107,6635236.10292984,0.658809025732459,332820.396095848,-2.13314061592792,9.52550678975368,0.126138200101591,2.15345500253977,0.00012955930843376
108,6635276.91581381,0.658819228953452,332810.887883214,-2.13310824368737,9.64995034820081,0.126012451807648,2.15031129519121,0.000126413223520781
109,6635316.27029843,0.658829067574608,332801.732944981,-2.1330770742264,9.77430609709869,0.125889703454525,2.14724258636312,0.000123383008284776
110,6635354.23622894,0.658838559057235,332792.913778148,-2.1330470479532,9.8985757441795,0.125769846608662,2.14424616521654,0.000120462956326473
111,6635390.87926801,0.658847719817001,332784.413959318,-2.1330181089517,10.0227609477862,0.125652778073555,2.14131945183887,0.000117647711932212
112,6635426.26119543,0.658856565298858,332776.218065309,-2.13299020471117,10.1468633187324,0.125538399574295,2.13845998935738,0.000114932244329717
113,6635460.44018293,0.658865110045732,332768.311600513,-2.13296328587899,10.2708844220785,0.125426617464796,2.13566543661989,0.000112311824134756
114,6635493.47104643,0.658873367761609,332760.680930374,-2.13293730603411,10.3948257788276,0.125317342455821,2.13293356139553,0.000109782001777117
115,6635525.4054777,0.658881351369426,332753.313220381,-2.13291222147939,10.5186888675461,0.125210489362103,2.13026223405257,0.000107338587717482
116,6635556.2922576,0.658889073064399,332746.196380065,-2.13288799105087,10.6424751259119,0.125105976866987,2.12764942167466,0.00010497763428615
117,6635586.17745227,0.658896544363068,332739.319011545,-2.13286457594262,10.7661859521947,0.125003727303207,2.12509318258018,0.000102695418993113
118,6635615.10459408,0.65890377614852,332732.670362178,-2.13284193954555,10.8898227066711,0.124903666448504,2.12259166121261,0.000100488429173993
119,6635643.11484845,0.658910778712111,332726.240280979,-2.13282004729899,11.0133867129786,0.124805723334916,2.12014308337291,9.83533478505364E-05
120,6635670.24716802,0.658917561792006,332720.019178435,-2.13279886655391,11.1368792594099,0.124709830070691,2.11774575176729,9.62870406966875E-05
121,6635696.53843508,0.658924134608769,332713.997989437,-2.13277836644667,11.2603016001531,0.124615921673846,2.11539804184616,9.42865440119922E-05
122,6635722.02359336,0.658930505898339,332708.168139045,-2.13275851778253,11.3836549564776,0.124523935916488,2.11309839791221,9.23490536139485E-05
123,6635746.73577007,0.658936683942517,332702.521510844,-2.13273929292782,11.5069405178706,0.124433813179096,2.11084532947741,9.04719145697693E-05
124,6635770.70638903,0.658942676597257,332697.050417667,-2.13272066571037,11.6301594431251,0.124345496314016,2.1086374078504,8.8652611695205E-05
125,6635793.96527558,0.658948491318895,332691.747574488,-2.13270261132711,11.7533128613829,0.1242589305175,2.1064732629375,8.68887607556159E-05
126,6635816.54075401,0.658954135188502,332686.606073293,-2.13268510625861,11.8764018731342,0.124174063209665,2.10435158024164,8.51781003101656E-05
127,6635838.45973805,0.658959614934514,332681.619359778,-2.13266812818969,11.9994275511756,0.124090843921806,2.10227109804516,8.35184841458734E-05
128,6635859.74781503,0.658964936953757,332676.781211715,-2.13265165593577,12.1223909415292,0.124009224190532,2.10023060476329,8.19078742529433E-05
129,6635880.42932426,0.658970107331065,332672.085718852,-2.13263566937443,12.2452930643243,0.123929157458256,2.09822893645641,8.03443342973959E-05
130,6635900.5274299,0.658975131857476,332667.527264223,-2.13262014938183,12.3681349146433,0.123850598979594,2.09626497448986,7.88260235510935E-05
131,6635920.06418902,0.658980016047255,332663.10050676,-2.13260507777343,12.490917463334,0.123773505733255,2.09433764333138,7.73511912425931E-05
132,6635939.06061492,0.658984765153731,332658.800365099,-2.13259043724891,12.6136416577892,0.123697836339062,2.09244590847655,7.59181712958065E-05
133,6635957.53673644,0.658989384184109,332654.622002485,-2.13257621134075,12.7363084226954,0.12362355097975,2.09058877449374,7.45253774260403E-05
134,6635975.51165316,0.658993877913289,332650.560812704,-2.13256238436637,12.8589186607529,0.123550611327221,2.08876528318053,7.31712985660113E-05
135,6635993.00358707,0.658998250896768,332646.612406945,-2.13254894138335,12.9814732533665,0.123478980472966,2.08697451182416,7.18544945964751E-05
136,6636010.02993097,0.659002507482743,332642.772601535,-2.1325358681477,13.1039730613108,0.123408622862373,2.08521557155931,7.05735923584372E-05
137,6636026.60729362,0.659006651823405,332639.037406478,-2.13252315107484,13.2264189253689,0.123339504232672,2.08348760581679,6.93272819257842E-05
138,6636042.75154219,0.659010687885547,332635.403014734,-2.13251077720308,13.3488116669474,0.123271591554292,2.08178978885731,6.81143131190918E-05
