"tid","Rörelsemängdsmoment (kg * m^2/s)","Förändring rörelsemängdsmoment","energi (J)","förändring energi","avstånd från analytisk lösning (m)","hastighet(m/s)","Hastighet jfr början","delta hastighet"
3.40000000000275,4000001.14303465,2.85758662288416E-07,-293714.977820724,-7.57790654670742E-08,7.81634518988706E-09,0.0412165746430602,0.0304143660765053,7.01502590855566E-05
3.50000000000296,4000001.17717524,2.94293810432222E-07,-293714.977193419,-7.79148235929839E-08,8.52710542435317E-09,0.0412887748885143,0.0322193722128579,7.22002454541099E-05
3.60000000000317,4000001.2113619,3.02840475585597E-07,-293714.976568564,-8.00422450542015E-08,9.27975429435446E-09,0.0413630216315409,0.0340755407885234,7.42467430266194E-05
3.70000000000338,4000001.24559603,3.11399007690838E-07,-293714.975946238,-8.21610544043949E-08,1.0075495916441E-08,0.0414393113369711,0.0359827834242785,7.62897054302006E-05
3.80000000000359,4000001.27987907,3.19969766904293E-07,-293714.975326522,-8.42709751980308E-08,1.09155380666723E-08,0.0415176404274296,0.037941010685741,7.83290904585038E-05
3.90000000000381,4000001.31421245,3.28553112938224E-07,-293714.974709499,-8.63717297683309E-08,1.18010953356889E-08,0.041598005287552,0.0399501321887996,8.03648601223478E-05
4.00000000000402,4000001.3485976,3.37149400841952E-07,-293714.974095253,-8.84630300124201E-08,1.2733372070465E-08,0.0416804022682497,0.0420100567062422,8.23969806977021E-05
4.10000000000378,4000001.38303599,3.45758996767032E-07,-293714.973483867,-9.05445909360481E-08,1.37135822296847E-08,0.041764827691019,0.0441206922754753,8.44254227693256E-05
4.20000000000355,4000001.41752905,3.54382261980035E-07,-293714.972875428,-9.26161192182917E-08,1.47429372173212E-08,0.0418512778522887,0.0462819463072173,8.6450161269673E-05
4.30000000000332,4000001.45207827,3.63019567295453E-07,-293714.972270022,-9.46773214272056E-08,1.58226481690742E-08,0.041939749027804,0.0484937256950999,8.84711755153103E-05
4.40000000000308,4000001.48668514,3.71671284637998E-07,-293714.971667737,-9.67278994679077E-08,1.69539324679783E-08,0.0420302374770423,0.0507559369260582,9.04884492383268E-05
4.50000000000285,4000001.52135113,3.80337781491491E-07,-293714.971068662,-9.8767546141687E-08,1.81379986782858E-08,0.0421227394476569,0.0530684861914223,9.25019706145697E-05
4.60000000000262,4000001.55607775,3.89019437330163E-07,-293714.970472887,-1.00795958912769E-07,1.93760686555017E-08,0.0422172511799457,0.0554312794986418,9.45117322887767E-05
4.70000000000238,4000001.59086652,3.97716631184153E-07,-293714.969880502,-1.02812826918708E-07,2.06693620251739E-08,0.0423137689113409,0.0578442227835227,9.65177313952334E-05
4.80000000000215,4000001.62571899,4.06429747190629E-07,-293714.969291602,-1.04817834745141E-07,2.20190957955199E-08,0.0424122888809168,0.0603072220229197,9.85199695758832E-05
4.90000000000192,4000001.66063667,4.15159167044266E-07,-293714.968706279,-1.06810660205348E-07,2.34264853394165E-08,0.042512807333911,0.0628201833477759,0.000100518452994247
5.00000000000169,4000001.6956211,4.23905273994052E-07,-293714.96812463,-1.08790977337847E-07,2.48927529105645E-08,0.0426153205262582,0.0653830131564555,0.000102513192347185
5.10000000000145,4000001.73067386,4.32668465277786E-07,-293714.967546751,-1.10758460292182E-07,2.64191239370301E-08,0.0427198247291315,0.0679956182282873,0.000104504202873272
